rating,number_of_reviews,bought_in_last_month,is_sponsored,buy_box_availability,is_best_seller_flag,has_badge,has_coupon,coupon_percent,coupon_value,final_price,discount_percentage,PC1,PC2,rating_category,price_category
4.8,53340.0,70.0,0,1,1,1,0,0.0,0.0,11.1,22.863099374565678,-0.0028864277553610823,8.772279421127836,High,Cheap
4.8,67965.0,60.0,0,1,0,0,0,0.0,0.0,20.39,6.852444038373687,-0.27679305143584043,1.9319809139123278,High,Cheap
4.1,450.0,20.0,0,1,0,0,0,0.0,0.0,119.99,29.41349491146539,-0.14234063338320532,0.36857038661525143,Medium,Cheap
4.9,72360.0,70.0,0,1,0,0,0,0.0,0.0,11.99,40.02001000500249,-0.29579284942323386,3.0851430557305632,High,Cheap
4.2,33507.0,10.0,0,1,1,1,0,0.0,0.0,19.99,33.344448149383126,0.1200865815737187,8.065485939148806,Medium,Cheap
4.4,15848.0,10.0,0,1,0,0,0,0.0,0.0,159.0,27.723987453975184,-0.17020236296166716,0.8461526969604143,Medium,Cheap
4.7,11785.0,10.0,0,0,1,1,0,0.0,0.0,280.12,0.0,-0.4294033861818686,6.014484867876494,High,Cheap
4.8,10981.0,50.0,0,1,0,0,0,0.0,0.0,17.97,0.0,-0.23685630932107327,0.40551100866270107,High,Cheap
4.7,17495.0,60.0,0,1,0,0,0,0.0,0.0,10.82,27.866666666666667,-0.23915973791005096,1.308168318486282,High,Cheap
4.8,72492.0,10.0,0,1,1,1,0,0.0,0.0,21.99,12.004801920768308,0.04357059294758586,8.785485071257504,High,Cheap
4.8,16952.0,50.0,0,1,0,0,0,0.0,0.0,25.66,0.0,-0.24043458146861998,0.5373065549652482,High,Cheap
4.6,16222.0,10.0,0,0,0,0,0,0.0,0.0,127.49,0.0,-0.6896154424979611,-0.5325659898307212,High,Cheap
4.8,2377.0,10.0,0,1,1,1,0,0.0,0.0,476.5,0.0,0.05809405765174719,6.481293677926483,High,Cheap
4.6,262557.0,10.0,0,1,1,1,0,0.0,0.0,79.99,0.0,-0.04354965238470012,12.630255075288137,High,Cheap
4.6,6133.0,10.0,0,0,0,0,0,0.0,0.0,97.49,0.0,-0.6827297488618075,-0.7424269049883795,High,Cheap
4.6,18532.0,30.0,0,0,0,0,0,0.0,0.0,47.89,0.0,-0.7061879462459829,-0.38349802797217464,High,Cheap
4.1,264.0,0.0,1,1,0,0,1,0.0,16.0,85.99,0.0,4.856415993700751,-0.9598344942958286,Medium,Cheap
3.9,6335.0,500.0,1,1,0,0,1,0.0,10.0,29.99,8.343520782396089,4.048203354523621,0.3717672483366124,Medium,Cheap
4.4,45.0,0.0,1,1,0,0,0,0.0,0.0,179.99,0.0,0.9975930755913385,-0.044797026061314554,Medium,Cheap
4.6,24117.0,20.0,0,1,0,0,0,0.0,0.0,52.89,26.4087936552108,-0.19724832899060463,1.2425906967420488,High,Cheap
4.8,1553.0,6.0,0,0,0,0,0,0.0,0.0,514.28,0.0,-0.7151572063113247,-1.0237494816684864,High,Cheap
4.7,231583.0,60.0,0,1,1,1,0,0.0,0.0,12.69,0.0,-0.08087529288890472,12.129621022902967,High,Cheap
4.1,4856.0,10.0,0,1,1,1,0,0.0,0.0,138.0,18.818754044355554,0.13796410951399463,6.825186807930549,Medium,Cheap
4.6,6931.0,20.0,0,1,0,0,0,0.0,0.0,106.89,0.0,-0.19202232820846796,0.04561991982378763,High,Cheap
4.8,54759.0,40.0,0,0,0,0,0,0.0,0.0,17.99,0.0,-0.7519078092628242,0.6375756085100195,High,Cheap
4.4,24693.0,10.0,0,1,1,1,0,0.0,0.0,39.59,0.0,0.10402383105688805,7.0335470023661255,Medium,Cheap
4.8,1212.0,2.0,0,0,0,0,0,0.0,0.0,1647.21,0.0,-0.7670541235086668,-1.8934443115158117,High,Cheap
4.5,744.0,10.0,0,0,0,0,0,0.0,0.0,44.99,0.0,-0.6681724607810516,-0.8999073445053025,Medium,Cheap
4.5,3316.0,9.0,0,0,1,1,0,0.0,0.0,485.05,0.0,-0.4158636715312444,5.517133307172084,Medium,Cheap
4.6,6350.0,10.0,0,1,0,0,0,0.0,0.0,154.89,0.0,-0.1844483963019626,-0.021872755325481944,High,Cheap
4.6,19724.0,10.0,0,1,0,1,0,0.0,0.0,11.89,37.3880989994734,-0.030498252952569836,3.510275173539068,High,Cheap
4.7,7235.0,500.0,1,1,0,0,0,0.0,0.0,69.95,0.0,0.4903161853020073,1.3172540501379095,High,Cheap
4.5,171.0,0.0,1,1,0,0,0,0.0,0.0,134.39,0.0,0.9906983163474918,0.0654082348971666,Medium,Cheap
4.4,1465.0,50.0,1,1,0,0,0,0.0,0.0,569.95,0.0,0.9294178978312866,-0.2167945414232985,Medium,Cheap
4.8,48326.0,40.0,0,1,0,0,0,0.0,0.0,19.99,6.76305970149255,-0.24699239968356462,1.4413589804349216,High,Cheap
